"di_id","year","value"
"AT",2015,374138660000
"BE",2015,457652800000
"DK",2015,302768760000
"FR",2015,2458662560000
"DE",2015,3429093730000
"IT",2015,1811822370000
"NL",2015,764747640000
"NO",2015,409057330000
"PT",2015,194726640000
"SE",2015,504738470000
"CH",2015,686202930000
"GB",2015,2632539610000
"FI",2015,233972270000
"IS",2015,16641470000
"IE",2015,226163060000
"LU",2015,38105770000
"CY",2015,20342170000
"GR",2015,195784800000
"MT",2015,9503610000
"ES",2015,1196294640000
"TR",2015,7.82998e+11
"SI",2015,42410600000
"HR",2015,5.5035e+10
"CZ",2015,169115910000
"SK",2015,83857490000
"BG",2015,4.7651e+10
"HU",2015,116104440000
"PL",2015,460044560000
"RO",2015,173815460000
"EE",2015,22000220000
"LV",2015,27038950000
"LT",2015,35712950000
"RU",2015,1.283796e+12
"CA",2015,1529870140000
"US",2015,1.8496e+13
"IL",2015,292017800000
"AE",2015,3.70569e+11
"KZ",2015,173349950000
"JP",2015,4313625440000
"TW",2015,5.39336e+11
"KR",2015,1383852700000
"TH",2015,365013310000
"AU",2015,1200091670000
"NZ",2015,166605740000
"dac-countries-total",2015,43778587760000
"g7-countries-total",2015,34671613850000
"non-dac-countries-total",2015,4314283860000
"dac-eu-members-total",2015,15576640340000
"AT",2014,434126350000
"BE",2014,528308350000
"DK",2014,350846820000
"FR",2014,2885067470000
"DE",2014,3956253150000
"IT",2014,2141436910000
"NL",2014,877561360000
"NO",2014,508376200000
"PT",2014,227011810000
"SE",2014,569509180000
"CH",2014,697585630000
"GB",2014,2749132370000
"FI",2014,275149260000
"IS",2014,16635590000
"IE",2014,217483080000
"LU",2014,39763830000
"CY",2014,1.9776e+10
"GR",2014,234576090000
"MT",2014,10121700000
"ES",2014,1396105880000
"TR",2014,8.00107e+11
"SI",2014,49416230000
"HR",2014,5.7118e+10
"CZ",2014,189164650000
"SK",2014,96658790000
"LI",2014,5.421e+09
"BG",2014,5.4e+10
"HU",2014,132219580000
"PL",2014,527653050000
"RO",2014,1.97814e+11
"EE",2014,25876500000
"LV",2014,31613460000
"LT",2014,46706670000
"RU",2014,1.78444e+12
"CA",2014,1759416130000
"US",2014,1.78232e+13
"IL",2014,299017640000
"AE",2014,403246580000
"KZ",2014,189248150000
"JP",2014,4786401190000
"TW",2014,5.47262e+11
"KR",2014,1420969410000
"TH",2014,375844020000
"AU",2014,1.394293e+12
"NZ",2014,187832120000
"dac-countries-total",2014,46339933900000
"g7-countries-total",2014,36100907220000
"non-dac-countries-total",2014,4979832300000
"dac-eu-members-total",2014,17745224630000
"AT",2013,428299260000
"BE",2013,507543160000
"DK",2013,343665190000
"FR",2013,2793907040000
"DE",2013,3735767390000
"IT",2013,2058746680000
"NL",2013,812758900000
"NO",2013,519298910000
"PT",2013,215399090000
"SE",2013,574808540000
"CH",2013,697845700000
"GB",2013,2536128550000
"FI",2013,268120020000
"IS",2013,13759240000
"IE",2013,183108070000
"LU",2013,42862450000
"CY",2013,20769790000
"GR",2013,241484330000
"MT",2013,8946360000
"ES",2013,1350268190000
"TR",2013,8.2e+11
"SI",2013,47406270000
"HR",2013,5.602e+10
"CZ",2013,185365030000
"SK",2013,92163570000
"LI",2013,4.395e+09
"BG",2013,5.1136e+10
"HU",2013,124410530000
"PL",2013,506874600000
"RO",2013,1.80846e+11
"EE",2013,24251890000
"LV",2013,31040600000
"LT",2013,44280100000
"RU",2013,2096777030000
"CA",2013,1799142880000
"US",2013,1.72043e+13
"IL",2013,2.85839e+11
"AE",2013,4.02626e+11
"KZ",2013,206591950000
"JP",2013,5100617880000
"TW",2013,5.03252e+11
"KR",2013,1314695720000
"TH",2013,375844020000
"AU",2013,1464361920000
"NZ",2013,1.74224e+11
"dac-countries-total",2013,45212922580000
"g7-countries-total",2013,35228610420000
"non-dac-countries-total",2013,5237026270000
"dac-eu-members-total",2013,16924676330000
"AT",2012,394606400000
"BE",2012,487750640000
"DK",2012,324409580000
"FR",2012,2657069410000
"DE",2012,3480604110000
"IT",2012,1998100260000
"NL",2012,778192310000
"NO",2012,511407420000
"PT",2012,207031610000
"SE",2012,538021840000
"CH",2012,652777350000
"GB",2012,2472134710000
"FI",2012,247176010000
"IS",2012,12074520000
"IE",2012,172061700000
"LU",2012,39752010000
"CY",2012,22088430000
"GR",2012,250263500000
"MT",2012,7928530000
"ES",2012,1307226220000
"TR",2012,7.86293e+11
"SI",2012,44898530000
"HR",2012,5.41e+10
"CZ",2012,182257160000
"SK",2012,89925560000
"LI",2012,3.809e+09
"BG",2012,49757680000
