"di_id","year","value"
"AD",2015,85.12
"AE",2015,85.54
"AF",2015,26.7
"AG",2015,23.77
"AL",2015,57.41
"AM",2015,62.67
"AO",2015,44.05
"AR",2015,91.75
"AS",2015,87.2
"AT",2015,65.97
"AU",2015,89.42
"AW",2015,41.53
"AZ",2015,54.62
"BA",2015,39.77
"BB",2015,31.48
"BD",2015,34.28
"BE",2015,97.86
"BF",2015,29.86
"BG",2015,73.95
"BH",2015,88.78
"BI",2015,12.06
"BJ",2015,43.95
"BM",2015,100
"BN",2015,77.2
"BO",2015,68.51
"BR",2015,85.69
"BS",2015,82.87
"BT",2015,38.64
"BW",2015,57.44
"BY",2015,76.67
"BZ",2015,43.97
"CA",2015,81.83
"CD",2015,42.49
"CF",2015,40.04
"CG",2015,65.38
"CH",2015,73.91
"CI",2015,54.18
"CL",2015,89.53
"CM",2015,54.38
"CN",2015,55.61
"CO",2015,76.44
"CR",2015,76.82
"CU",2015,77.07
"CV",2015,65.53
"CW",2015,89.33
"CY",2015,66.92
"CZ",2015,72.99
"DE",2015,75.3
"DJ",2015,77.34
"DK",2015,87.68
"DM",2015,69.54
"DO",2015,78.98
"DZ",2015,70.73
"EC",2015,63.74
"EE",2015,67.54
"EG",2015,43.14
"ER",2015,
"ES",2015,79.58
"ET",2015,19.47
"EU",2015,74.8
"FI",2015,84.22
"FJ",2015,53.73
"FM",2015,22.42
"FO",2015,41.96
"FR",2015,79.52
"GA",2015,87.16
"GB",2015,82.59
"GD",2015,35.59
"GE",2015,53.64
"GH",2015,54.04
"GI",2015,100
"GL",2015,86.44
"GM",2015,59.63
"GN",2015,37.16
"GQ",2015,39.92
"GR",2015,78.01
"GT",2015,51.57
"GU",2015,94.52
"GW",2015,49.33
"GY",2015,28.55
"HK",2015,100
"HN",2015,54.73
"HR",2015,58.96
"HT",2015,58.65
"HU",2015,71.23
"ID",2015,53.74
"IE",2015,63.24
"IL",2015,92.14
"IM",2015,52.2
"IN",2015,32.75
"IQ",2015,69.47
"IR",2015,73.38
"IS",2015,94.14
"IT",2015,68.96
"JM",2015,54.79
"JO",2015,83.68
"JP",2015,93.5
"KE",2015,25.62
"KG",2015,35.71
"KH",2015,20.72
"KI",2015,44.3
"KM",2015,28.3
