"di_id","year","value"
"AD",2015,0
"AE",2015,370568255956
"AF",2015,19508686623
"AG",2015,1216775296
"AL",2015,11233126204
"AM",2015,10964557495
"AO",2015,89885984061
"AR",2015,572913064613
"AS",2015,0
"AT",2015,374893201730
"AU",2015,1311629919294
"AW",2015,0
"AZ",2015,51240874488
"BA",2015,16268255815
"BB",2015,4172307663
"BD",2015,207742686491
"BE",2015,454123100810
"BF",2015,10425654058
"BG",2015,49190408637
"BH",2015,25827851064
"BI",2015,3090096309
"BJ",2015,8263954911
"BM",2015,0
"BN",2015,13552985672
"BO",2015,31824991751
"BR",2015,1735974029878
"BS",2015,8455514700
"BT",2015,1875571261
"BW",2015,14091371392
"BY",2015,52072474403
"BZ",2015,1657315989
"CA",2015,1539955639048
"CD",2015,32446813761
"CF",2015,1590745517
"CG",2015,8465696104
"CH",2015,687307356181
"CI",2015,29429225507
"CL",2015,234593155615
"CM",2015,27979227305
"CN",2015,10961623444400
"CO",2015,286255492187
"CR",2015,51766834463
"CU",2015,0
"CV",2015,1545393411
"CW",2015,0
"CY",2015,19490011610
"CZ",2015,172986310280
"DE",2015,3436657424864
"DJ",2015,0
"DK",2015,302667538517
"DM",2015,499788889
"DO",2015,65057949416
"DZ",2015,162253617797
"EC",2015,98431861837
"EE",2015,21995674836
"EG",2015,324702710429
"ER",2015,0
"ES",2015,1198323167351
"ET",2015,61277211547
"EU",2015,
"FI",2015,233920372629
"FJ",2015,4202664248
"FM",2015,370788500
"FO",2015,0
"FR",2015,2458116890318
"GA",2015,13405722254
"GB",2015,2799719895693
"GD",2015,950370370
"GE",2015,13581648218
"GH",2015,36411505263
"GI",2015,0
"GL",2015,0
"GM",2015,0
"GN",2015,6225650529
"GQ",2015,8151259308
"GR",2015,195989361492
"GT",2015,62175852886
"GU",2015,0
"GW",2015,1053021152
"GY",2015,3173733656
"HK",2015,314329833071
"HN",2015,19039701892
"HR",2015,48431659099
"HT",2015,8775169890
"HU",2015,116132998359
"ID",2015,833906210026
