"di_id","year","value"
"AE",2015,1.18
"AT",2015,0.35
"AU",2015,0.29
"BE",2015,0.42
"BG",2015,0.09
"CA",2015,0.28
"CH",2015,0.52
"CY",2015,0.09
"CZ",2015,0.12
"dac-countries-total",2015,0.3
"DE",2015,0.52
"DK",2015,0.85
"EE",2015,0.15
"ES",2015,0.12
"FI",2015,0.55
"FR",2015,0.37
"GB",2015,0.7
"GR",2015,0.12
"HR",2015,0.09
"HU",2015,0.13
"IE",2015,0.32
"IL",2015,0.07
"IS",2015,0.24
"IT",2015,0.22
"JP",2015,0.21
"KR",2015,0.14
"KZ",2015,0.03
"LT",2015,0.14
"LU",2015,0.95
"LV",2015,0.09
"MT",2015,0.17
"NL",2015,0.75
"NO",2015,1.05
"NZ",2015,0.27
"PL",2015,0.1
"PT",2015,0.16
"RO",2015,0.09
"RU",2015,0.09
"SE",2015,1.41
"SI",2015,0.15
"SK",2015,0.1
"TH",2015,0.02
"TR",2015,0.5
"TW",2015,0.05
"US",2015,0.17
"AE",2014,1.26
"AT",2014,0.28
"AU",2014,0.31
"BE",2014,0.46
"BG",2014,0.09
"CA",2014,0.24
"CH",2014,0.51
"CY",2014,0.09
"CZ",2014,0.11
"dac-countries-total",2014,0.3
"DE",2014,0.42
"DK",2014,0.86
"EE",2014,0.14
"ES",2014,0.13
"FI",2014,0.59
"FR",2014,0.37
"GB",2014,0.7
"GR",2014,0.11
"HR",2014,0.13
"HU",2014,0.11
"IE",2014,0.38
"IL",2014,0.07
"IS",2014,0.22
"IT",2014,0.19
"JP",2014,0.2
"KR",2014,0.13
"KZ",2014,0.02
"LI",2014,0.5
"LT",2014,0.1
"LU",2014,1.06
"LV",2014,0.08
"MT",2014,0.2
"NL",2014,0.64
"NO",2014,1
"NZ",2014,0.27
"PL",2014,0.09
"PT",2014,0.19
"RO",2014,0.11
"RU",2014,0.05
"SE",2014,1.09
"SI",2014,0.13
"SK",2014,0.09
"TH",2014,0.02
"TR",2014,0.45
"TW",2014,0.05
"US",2014,0.19
"AE",2013,1.34
"AT",2013,0.27
"AU",2013,0.33
"BE",2013,0.45
"BG",2013,0.1
"CA",2013,0.28
"CH",2013,0.46
"CY",2013,0.1
"CZ",2013,0.11
"dac-countries-total",2013,0.3
"DE",2013,0.38
"DK",2013,0.85
"EE",2013,0.13
"ES",2013,0.17
"FI",2013,0.54
"FR",2013,0.41
"GB",2013,0.71
"GR",2013,0.1
"HR",2013,0.08
"HU",2013,0.1
"IE",2013,0.46
"IL",2013,0.07
"IS",2013,0.25
"IT",2013,0.17
"JP",2013,0.23
"KR",2013,0.13
"KZ",2013,0
"LI",2013,0.64
"LT",2013,0.11
"LU",2013,1
"LV",2013,0.08
"MT",2013,0.2
"NL",2013,0.67
"NO",2013,1.07
"NZ",2013,0.26
"PL",2013,0.1
"PT",2013,0.23
"RO",2013,0.07
"RU",2013,0.03
"SE",2013,1.01
"SI",2013,0.13
"SK",2013,0.09
"TH",2013,0.01
"TR",2013,0.4
"TW",2013,0.05
"US",2013,0.18
"AE",2012,0.2
"AT",2012,0.28
"AU",2012,0.36
"BE",2012,0.48
"BG",2012,0.08
"CA",2012,0.32
"CH",2012,0.47
"CY",2012,0.11
"CZ",2012,0.12
"dac-countries-total",2012,0.28
"DE",2012,0.37
"DK",2012,0.83
"EE",2012,0.11
"ES",2012,0.16
"FI",2012,0.53
"FR",2012,0.45
"GB",2012,0.56
"GR",2012,0.13
"HR",2012,0.04
"HU",2012,0.1
"IE",2012,0.47
"IL",2012,0.07
"IS",2012,0.22
"IT",2012,0.14
"JP",2012,0.17
"KR",2012,0.14
"LI",2012,0.75
"LT",2012,0.13
"LU",2012,1
"LV",2012,0.08
"MT",2012,0.23
"NL",2012,0.71
"NO",2012,0.93
"NZ",2012,0.28
"PL",2012,0.09
"PT",2012,0.28
"RO",2012,0.09
"RU",2012,0.02
"SE",2012,0.97
"SI",2012,0.13
"SK",2012,0.09
"TH",2012,0
"TR",2012,0.32
"TW",2012,0.06
"US",2012,0.19
"AE",2011,0.21
"AT",2011,0.27
"AU",2011,0.34
"BE",2011,0.54
"BG",2011,0.09
"CA",2011,0.32
"CH",2011,0.46
"CY",2011,0.16
"CZ",2011,0.13
"dac-countries-total",2011,0.31
"DE",2011,0.39
"DK",2011,0.85
"EE",2011,0.12
"ES",2011,0.29
"FI",2011,0.53
"FR",2011,0.46
"GB",2011,0.56
"GR",2011,0.15
"HU",2011,0.11
"IE",2011,0.51
"IL",2011,0.09
"IS",2011,0.21
"IT",2011,0.2
"JP",2011,0.18
"KR",2011,0.12
"LI",2011,0.69
